#Unit,Date,PageNum,PageID,Place1,Place2,Place3,activity,count,Place1_Geo,Place2_Geo,Place3_Geo,Location,longitude,latitude,name
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1915-11-29,13 15,AWD0000n0v AWD0000n1h,Verbranden Molen,Verbrandenmolen,,activity:attack,1.0,"[3.6621571000000004, 51.337804900000002, 'Nieuwlandsche Molen']","[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,"[3.6621571000000004, 51.337804900000002, 'Nieuwlandsche Molen']",3.6621571000000004,51.3378049,Nieuwlandsche Molen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1915-11-30,13 14 15,AWD0000n0v AWD0000myh AWD0000n1h,Verbrandenmolen,Eecke,Verbranden Molen,activity:attack,6.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']","[2.5966366000000001, 50.779085200000004, 'Eecke']","[3.6621571000000004, 51.337804900000002, 'Nieuwlandsche Molen']","[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1915-12-02,18,AWD0000mwr,Verbrandenmolen,,,activity:attack,4.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1915-12-02,18,AWD0000mwr,Verbrandenmolen,,,activity:attack,5.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1915-12-12,18,AWD0000mwr,Renninghelst,,,activity:attack,1.0,"[2.7706599999999999, 50.81514, 'Reningelst']",,,"[2.7706599999999999, 50.81514, 'Reningelst']",2.77066,50.81514,Reningelst
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1915-12-13,18 19,AWD0000mwr AWD0000mvb,Renninghelst,Verbrandenmolen,,activity:attack,2.0,"[2.7706599999999999, 50.81514, 'Reningelst']","[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,"[2.7706599999999999, 50.81514, 'Reningelst']",2.77066,50.81514,Reningelst
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1915-12-26,20,AWD0000n02,Verbrandenmolen,,,activity:attack,6.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1915-12-28,20,AWD0000n02,Verbrandenmolen,,,activity:attack,4.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1915-12-29,21,AWD0000mxm,Verbrandenmolen,,,activity:attack,1.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-01-20,27,AWD0000mzt,Verbrandenmolen,,,activity:attack,5.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-01-21,27,AWD0000mzt,Verbrandenmolen,,,activity:attack,6.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-01-22,27,AWD0000mzt,Verbrandenmolen,,,activity:attack,2.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-01-23,28,AWD0000mzx,Verbrandenmolen,,,activity:attack,1.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-02-03,32,AWD0000n2l,Verbrandenmolen,,,activity:attack,1.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-02-03,32,AWD0000n2l,Verbrandenmolen,,,activity:attack,1.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-02-05,32,AWD0000n2l,Verbrandenmolen,,,activity:attack,6.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-03-03,36,AWD0000mxg,Poperinge,Poperinghe,,activity:attack,1.0,"[2.7265900000000003, 50.853859999999997, 'Poperinge']","[2.7265900000000003, 50.853859999999997, 'Poperinge']",,"[2.7265900000000003, 50.853859999999997, 'Poperinge']",2.7265900000000003,50.85386,Poperinge
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-03-04,36,AWD0000mxg,Mettet,Poperinge,Poperinghe,activity:attack,3.0,"[4.6584949, 50.321209400000001, 'Mettet']","[2.7265900000000003, 50.853859999999997, 'Poperinge']","[2.7265900000000003, 50.853859999999997, 'Poperinge']","[4.6584949, 50.321209400000001, 'Mettet']",4.6584949,50.3212094,Mettet
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-03-13,37,AWD0000my1,Ypres,Verbrandenmolen,,activity:attack,1.0,"[2.8846047000000001, 50.852194700000005, 'Ypres']","[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",,"[2.8846047000000001, 50.852194700000005, 'Ypres']",2.8846047,50.852194700000005,Ypres
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-03-31,39 54 56 57 58 59,AWD0000n1f AWD0000mrd AWD0000mwq AWD0000mrr AWD0000n18 AWD0000mvj,Dickebush,Scottish Wood,Verbrandenmolen,activity:attack,3.0,"[2.8287300000000002, 50.821309999999997, 'Dikkebus']","[-3.040467, 55.606032400000004, 'Kite Wood']","[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']","[2.8287300000000002, 50.821309999999997, 'Dikkebus']",2.82873,50.82131,Dikkebus
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-04-02,62,AWD0000mwi,Verbrandenmolen,Scottish Wood,,activity:attack,2.0,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']","[-3.040467, 55.606032400000004, 'Kite Wood']",,"[2.9212400000000001, 50.825519999999997, 'Verbrandenmolen']",2.92124,50.82552,Verbrandenmolen
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-04-03,62,AWD0000mwi,Scottish Wood,,,activity:attack,5.0,"[-3.040467, 55.606032400000004, 'Kite Wood']",,,"[-3.040467, 55.606032400000004, 'Kite Wood']",-3.040467,55.606032400000004,Kite Wood
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-04-30,64 65 66 67 68 69 70 71 72 73,AWD0000mwj AWD0000myo AWD0000mzy AWD0000mzb AWD0000mwl AWD0000mz2 AWD0000mx3 AWD0000n0l AWD0000mze AWD0000n1o,Kemmel Shelters,Locre,Eecke,activity:attack,16.0,,"[11.232014100000001, 45.711117600000001, 'Locre']","[2.5966366000000001, 50.779085200000004, 'Eecke']","[11.232014100000001, 45.711117600000001, 'Locre']",11.2320141,45.7111176,Locre
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-05-11,78,AWD0000n21,Kemmel,,,activity:attack,2.0,"[2.8258709, 50.7828552, 'Kemmel']",,,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-07-17,91,AWD0000mvp,Longueval,Caterpillar Wood,,activity:attack,2.0,"[2.8039931999999999, 50.026224299999996, 'Longueval']",,,"[2.8039931999999999, 50.026224299999996, 'Longueval']",2.8039932,50.026224299999996,Longueval
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-07-18,92,AWD0000mw1,Longueval,Caterpillar Valley,,activity:attack,2.0,"[2.8039931999999999, 50.026224299999996, 'Longueval']",,,"[2.8039931999999999, 50.026224299999996, 'Longueval']",2.8039932,50.026224299999996,Longueval
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-07-22,94,AWD0000mvd,Carnoy,Longueval,,activity:attack,1.0,"[2.9068307999999998, 50.590218499999999, 'Carnoy']","[2.8039931999999999, 50.026224299999996, 'Longueval']",,"[2.9068307999999998, 50.590218499999999, 'Carnoy']",2.9068308,50.5902185,Carnoy
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-07-23,94,AWD0000mvd,Longueval,Delville Wood,,activity:attack,2.0,"[2.8039931999999999, 50.026224299999996, 'Longueval']",,,"[2.8039931999999999, 50.026224299999996, 'Longueval']",2.8039932,50.026224299999996,Longueval
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,1916-08-16,102 103,AWD0000muu AWD0000n0j,Edward Trench,Talus Boise,Shute Trench,activity:attack,8.0,,,"[-1.013536, 51.494467, 'Trench Green']","[-1.013536, 51.494467, 'Trench Green']",-1.013536,51.494467,Trench Green
