#Unit,Date,PageNum,PageID,Place1,Place2,Place3,activity,count,Place1_Geo,Place2_Geo,Place3_Geo,Location,longitude,latitude,name
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-08-21,4 5,AWD00001wz AWD00001rz,Mons,Binche,Harmignies,activity:attack,1.0,"[3.9519580000000003, 50.454956799999998, 'Mons']","[4.1651629999999997, 50.410300399999997, 'Binche']","[4.0177898999999995, 50.407644599999998, 'Harmignies']","[3.9519580000000003, 50.454956799999998, 'Mons']",3.9519580000000003,50.4549568,Mons
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-08-24,5 6,AWD00001rz AWD00001x2,Thulin,Audregnies,,activity:attack,8.0,"[3.7393228999999999, 50.429283200000008, 'Thulin']","[3.7202864999999998, 50.381600799999994, 'Audregnies']",,"[3.7393228999999999, 50.429283200000008, 'Thulin']",3.7393229,50.42928320000001,Thulin
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-09-06,16,AWD00001vy,Pecy,Gastins,La Noue,activity:attack,1.0,"[3.0822099999999999, 48.65551, 'Pecy']","[3.0205481000000001, 48.628248499999998, 'Gastins']","[3.6108788999999999, 48.742849, 'La Noue']","[3.0822099999999999, 48.65551, 'Pecy']",3.08221,48.65551,Pecy
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-09-07,16 17,AWD00001vy AWD00001qw,Pecy,Le Buisson Bailly,Feraubry,activity:attack,5.0,"[3.0822099999999999, 48.65551, 'Pecy']","[2.2653843999999999, 48.746781899999995, 'Verrières-le-Buisson']","[3.2676799999999999, 48.76041, 'Feraubry']","[3.0822099999999999, 48.65551, 'Pecy']",3.08221,48.65551,Pecy
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-09-07,17,AWD00001qw,Le Buisson Bailly,Sablonnieres,Bassevelle,activity:attack,5.0,"[2.2653843999999999, 48.746781899999995, 'Verrières-le-Buisson']","[3.2970199999999998, 48.875709999999998, 'Sablonnieres']","[3.2877267999999997, 48.927182700000003, 'Bassevelle']","[2.2653843999999999, 48.746781899999995, 'Verrières-le-Buisson']",2.2653844,48.746781899999995,Verrières-le-Buisson
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-09-14,17 18,AWD00001qw AWD00001ur,Longueval,Pargnan,Bourg,activity:attack,10.0,"[2.8039931999999999, 50.026224299999996, 'Longueval']","[3.6914712000000001, 49.400321399999996, 'Pargnan']","[3.6540786000000001, 49.396351600000003, 'Bourg-et-Comin']","[2.8039931999999999, 50.026224299999996, 'Longueval']",2.8039932,50.026224299999996,Longueval
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-09-14,18,AWD00001ur,Pargnan,Soupir,Vendresse,activity:attack,2.0,"[3.6914712000000001, 49.400321399999996, 'Pargnan']","[3.5939800000000002, 49.406300000000002, 'Soupir']","[4.7929447999999999, 49.603653999999999, 'Vendresse']","[3.6914712000000001, 49.400321399999996, 'Pargnan']",3.6914712,49.400321399999996,Pargnan
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-09-16,18,AWD00001ur,Chavonne,,,activity:attack,1.0,"[3.5695699999999997, 49.405099999999997, 'Chavonne']",,,"[3.5695699999999997, 49.405099999999997, 'Chavonne']",3.5695699999999997,49.4051,Chavonne
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-09-16,18,AWD00001ur,Chavonne,,,activity:attack,4.0,"[3.5695699999999997, 49.405099999999997, 'Chavonne']",,,"[3.5695699999999997, 49.405099999999997, 'Chavonne']",3.5695699999999997,49.4051,Chavonne
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-09-17,18,AWD00001ur,Chavonne,,,activity:attack,2.0,"[3.5695699999999997, 49.405099999999997, 'Chavonne']",,,"[3.5695699999999997, 49.405099999999997, 'Chavonne']",3.5695699999999997,49.4051,Chavonne
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-09-30,20 21,AWD00001ui AWD00001q1,Fretoy,Longueval,,activity:attack,1.0,"[2.8658097999999996, 47.299448799999993, 'Fretoy']","[2.8039931999999999, 50.026224299999996, 'Longueval']",,"[2.8658097999999996, 47.299448799999993, 'Fretoy']",2.8658097999999996,47.29944879999999,Fretoy
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-10-07,26,AWD00001vs,Malpart,Montdidier,,activity:attack,1.0,"[2.4977478999999998, 49.692307399999997, 'Malpart']","[2.5701959999999997, 49.646020399999998, 'Montdidier']",,"[2.4977478999999998, 49.692307399999997, 'Malpart']",2.4977479,49.6923074,Malpart
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-10-11,27,AWD00001mh,Vierhouck,Houdain,Verterue,activity:attack,3.0,,"[2.5367842, 50.453812599999999, 'Houdain']","[5.5060689000000007, 49.716401700000006, 'Verterme']","[2.5367842, 50.453812599999999, 'Houdain']",2.5367842,50.4538126,Houdain
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-10-12,27,AWD00001mh,Strazeele,Vieux Berquin,,activity:attack,5.0,"[2.6322141000000001, 50.726931399999998, 'Strazeele']","[2.6437922999999999, 50.694805200000005, 'Vieux-Berquin']",,"[2.6322141000000001, 50.726931399999998, 'Strazeele']",2.6322141,50.7269314,Strazeele
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-10-13,27 28,AWD00001mh AWD00001pm,Thieushouck,Thieushoer,Hazebrouck,activity:attack,7.0,,,"[2.5360331, 50.722611299999997, 'Hazebrouck']","[2.5360331, 50.722611299999997, 'Hazebrouck']",2.5360331,50.7226113,Hazebrouck
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-10-16,28,AWD00001pm,Lys,Locre,,activity:attack,1.0,"[-0.35256009999999999, 43.130034100000003, 'Lys']","[11.232014100000001, 45.711117600000001, 'Locre']",,"[-0.35256009999999999, 43.130034100000003, 'Lys']",-0.3525601,43.1300341,Lys
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-10-17,28 29,AWD00001pm AWD00001sh,Lys,Houplines,Neuve Eglise,activity:attack,2.0,"[-0.35256009999999999, 43.130034100000003, 'Lys']","[2.9104188999999998, 50.690458899999996, 'Houplines']","[2.9834299999999998, 44.927869999999999, 'Neuveglise']","[-0.35256009999999999, 43.130034100000003, 'Lys']",-0.3525601,43.1300341,Lys
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-10-18,29,AWD00001sh,Ploegsteert,Pont Rouge,,activity:attack,5.0,"[2.8803139, 50.726220399999995, 'Ploegsteert']","[5.8699868000000004, 46.018050299999999, 'Pont Rouge']",,"[2.8803139, 50.726220399999995, 'Ploegsteert']",2.8803139,50.726220399999995,Ploegsteert
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-10-21,30 31,AWD00001qb AWD00001ud,Wulverghem,Ploegsteert,Messines,activity:attack,1.0,"[2.85243, 50.760210000000001, 'Wulvergem']","[2.8803139, 50.726220399999995, 'Ploegsteert']","[0.44687090000000002, 44.416204399999998, 'Messines']","[2.85243, 50.760210000000001, 'Wulvergem']",2.85243,50.76021,Wulvergem
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-10-28,32,AWD00001pk,La Couture,Neuve Chapelle,,activity:attack,4.0,"[2.7129084999999997, 50.5801874, 'La Couture']","[2.7799148999999996, 50.583883, 'Neuve-Chapelle']",,"[2.7129084999999997, 50.5801874, 'La Couture']",2.7129084999999997,50.5801874,La Couture
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-10-30,33,AWD00001v0,Neuve Eglise,Messines,,activity:attack,1.0,"[2.9834299999999998, 44.927869999999999, 'Neuveglise']","[0.44687090000000002, 44.416204399999998, 'Messines']",,"[2.9834299999999998, 44.927869999999999, 'Neuveglise']",2.98343,44.92787,Neuveglise
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,1914-11-12,50,AWD00001s8,Ypres,,,activity:attack,1.0,"[2.8846047000000001, 50.852194700000005, 'Ypres']",,,"[2.8846047000000001, 50.852194700000005, 'Ypres']",2.8846047,50.852194700000005,Ypres
