#Unit,Date,PageNum,PageID,Place1,Place2,Place3,activity,count,Place1_Geo,Place2_Geo,Place3_Geo,Location,longitude,latitude,name
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-03-30,31,AWD0000n5v,Poperinge,,,activity:attack,3.0,"[2.7265900000000003, 50.853859999999997, 'Poperinge']",,,"[2.7265900000000003, 50.853859999999997, 'Poperinge']",2.7265900000000003,50.85386,Poperinge
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-04-01,35,AWD0000n6q,Saint Eloi,,,activity:attack,1.0,"[5.1047399000000002, 49.8761297, 'Saint Eloi']",,,"[5.1047399000000002, 49.8761297, 'Saint Eloi']",5.1047399,49.8761297,Saint Eloi
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-04-30,41,AWD0000n3h,Kemmel,Lindenhoek,Kemmel Trenches,activity:attack,4.0,"[2.8258709, 50.7828552, 'Kemmel']","[2.8166699999999998, 50.766669999999998, 'Lindenhoek']",,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-05-13,47,AWD0000n3q,Kemmel Shelters,Kemmel,,activity:attack,4.0,,"[2.8258709, 50.7828552, 'Kemmel']",,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-05-17,48,AWD0000n46,Kemmel,,,activity:attack,2.0,"[2.8258709, 50.7828552, 'Kemmel']",,,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-05-20,48,AWD0000n46,Kemmel,,,activity:attack,1.0,"[2.8258709, 50.7828552, 'Kemmel']",,,"[2.8258709, 50.7828552, 'Kemmel']",2.8258709,50.7828552,Kemmel
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-07-14,63 64,AWD0000n6f AWD0000n41,Montauban,Breslau,Montauban Alley,activity:attack,10.0,"[3.8442516000000002, 48.298735200000003, 'Montauban']",,,"[3.8442516000000002, 48.298735200000003, 'Montauban']",3.8442516,48.2987352,Montauban
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-07-19,67 75,AWD0000n6n AWD0000n3r,Breslau,Delville Wood,Mericourt,activity:attack,4.0,,,"[2.5654499999999998, 49.952129999999997, ""Mericourt-l'Abbe""]","[2.5654499999999998, 49.952129999999997, ""Mericourt-l'Abbe""]",2.56545,49.95213,Mericourt-l'Abbe
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-08-17,80 81 82,AWD0000n1y AWD0000na6 AWD0000n7r,Taus Bois,Bruay,,activity:attack,9.0,,"[3.14438, 49.770899999999997, 'Bray-Saint-Christophe']",,"[3.14438, 49.770899999999997, 'Bray-Saint-Christophe']",3.14438,49.7709,Bray-Saint-Christophe
3 DIVISION: 10 Battalion Royal Welsh Fusiliers,1916-09-15,94,AWD0000n62,Loos,,,activity:attack,1.0,"[3.0162522999999997, 50.609208200000005, 'Loos']",,,"[3.0162522999999997, 50.609208200000005, 'Loos']",3.0162522999999997,50.609208200000005,Loos
