#Unit,Date,PageNum,PageID,Place1,Place2,Place3,activity,count,Place1_Geo,Place2_Geo,Place3_Geo,Location,longitude,latitude,name
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-07,10,AWD0002aoi,Bertangles,Morlancourt,,activity:achieved,1.0,"[2.2992907000000002, 49.970940399999996, 'Bertangles']","[2.6288323999999998, 49.950468600000001, 'Morlancourt']",,"[2.2992907000000002, 49.970940399999996, 'Bertangles']",2.2992907000000002,49.970940399999996,Bertangles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-13,10,AWD0002aoi,Carnoy,,,activity:achieved,2.0,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",,,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",2.7563297,49.9853379,Carnoy
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-13,10,AWD0002aoi,Carnoy,,,activity:achieved,1.0,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",,,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",2.7563297,49.9853379,Carnoy
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-05-03,49,AWD0002an2,Arras,,,activity:achieved,1.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-05-07,49 50,AWD0002an2 AWD0002am6,Arras,Field,,activity:achieved,2.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-05-22,121,AWD0002ao7,Chocques,,,activity:achieved,1.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-08-21,129 130,AWD0002amp AWD0002alj,Arras,,,activity:achieved,2.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-08-23,131,AWD0002an1,Arras,Gomiecourt,,activity:achieved,2.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-13,10,AWD0002aoi,Carnoy,,,activity:attack,4.0,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",,,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",2.7563297,49.9853379,Carnoy
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-07-22,11,AWD0002aog,Delville Wood,Carnoy,,activity:attack,6.0,,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",,"[2.7563297000000002, 49.985337899999998, 'Carnoy']",2.7563297,49.9853379,Carnoy
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-04-12,46,AWD0002aoa,Guemappe,Wancourt,Bois de Boeufs,activity:attack,3.0,,"[3.0723199999999999, 49.902470000000001, 'Hancourt']",,"[3.0723199999999999, 49.902470000000001, 'Hancourt']",3.07232,49.90247,Hancourt
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-05-03,49,AWD0002an2,Arras,,,activity:attack,8.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-05-07,49 50,AWD0002an2 AWD0002am6,Arras,Field,,activity:attack,4.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-07-15,57,AWD0002ap8,Doignies,,,activity:attack,1.0,"[4.0732968000000005, 50.577530899999999, 'Soignies']",,,"[4.0732968000000005, 50.577530899999999, 'Soignies']",4.0732968000000005,50.5775309,Soignies
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-08-27,65,AWD0002ane,Fremicourt,,,activity:attack,3.0,"[2.7162587000000005, 49.998718599999997, 'Fricourt']",,,"[2.7162587000000005, 49.998718599999997, 'Fricourt']",2.7162587000000005,49.9987186,Fricourt
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-05-22,121,AWD0002ao7,Chocques,,,activity:attack,3.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-06-05,123,AWD0002alr,Chocques,,,activity:attack,3.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-06-07,123,AWD0002alr,Chocques,,,activity:attack,2.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-06-08,123,AWD0002alr,Chocques,,,activity:attack,1.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-08-21,129 130,AWD0002amp AWD0002alj,Arras,,,activity:attack,13.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-08-22,130 131,AWD0002alj AWD0002an1,Arras,,,activity:attack,1.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-08-23,131,AWD0002an1,Arras,Gomiecourt,,activity:attack,5.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-10-05,137,AWD0002am2,Ribecourt,,,activity:attack,1.0,"[3.1307700000000001, 50.110579999999999, 'Ribecourt-la-Tour']",,,"[3.1307700000000001, 50.110579999999999, 'Ribecourt-la-Tour']",3.13077,50.11058,Ribecourt-la-Tour
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-10-13,137,AWD0002am2,Flesquieres,,,activity:attack,1.0,"[1.7594900000000002, 44.81324, 'Falguieres']",,,"[1.7594900000000002, 44.81324, 'Falguieres']",1.7594900000000002,44.81324,Falguieres
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-07-09,56,AWD0002akq,Doignies,,,activity:construction,2.0,"[4.0732968000000005, 50.577530899999999, 'Soignies']",,,"[4.0732968000000005, 50.577530899999999, 'Soignies']",4.0732968000000005,50.5775309,Soignies
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-07-10,56,AWD0002akq,Doignies,,,activity:construction,1.0,"[4.0732968000000005, 50.577530899999999, 'Soignies']",,,"[4.0732968000000005, 50.577530899999999, 'Soignies']",4.0732968000000005,50.5775309,Soignies
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-07-11,56,AWD0002akq,Doignies,,,activity:construction,1.0,"[4.0732968000000005, 50.577530899999999, 'Soignies']",,,"[4.0732968000000005, 50.577530899999999, 'Soignies']",4.0732968000000005,50.5775309,Soignies
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-07-11,56,AWD0002akq,Doignies,,,activity:construction,2.0,"[4.0732968000000005, 50.577530899999999, 'Soignies']",,,"[4.0732968000000005, 50.577530899999999, 'Soignies']",4.0732968000000005,50.5775309,Soignies
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-06-02,123,AWD0002alr,Chocques,,,activity:construction,1.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-07-16,126 127,AWD0002anw AWD0002ako,Chocques,,,activity:construction,1.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-10-02,137,AWD0002am2,Ribecourt,,,activity:construction,1.0,"[3.1307700000000001, 50.110579999999999, 'Ribecourt-la-Tour']",,,"[3.1307700000000001, 50.110579999999999, 'Ribecourt-la-Tour']",3.13077,50.11058,Ribecourt-la-Tour
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-05-03,49,AWD0002an2,Arras,,,activity:enemy_activity,5.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-07-15,57,AWD0002ap8,Doignies,,,activity:enemy_activity,1.0,"[4.0732968000000005, 50.577530899999999, 'Soignies']",,,"[4.0732968000000005, 50.577530899999999, 'Soignies']",4.0732968000000005,50.5775309,Soignies
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-08-10,63,AWD0002alk,Lagnicourt,,,activity:enemy_activity,2.0,"[4.3790817000000004, 48.451862599999998, 'Magnicourt']",,,"[4.3790817000000004, 48.451862599999998, 'Magnicourt']",4.3790817,48.4518626,Magnicourt
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-08-27,65,AWD0002ane,Fremicourt,,,activity:enemy_activity,3.0,"[2.7162587000000005, 49.998718599999997, 'Fricourt']",,,"[2.7162587000000005, 49.998718599999997, 'Fricourt']",2.7162587000000005,49.9987186,Fricourt
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-06-05,123,AWD0002alr,Chocques,,,activity:enemy_activity,4.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-06-07,123,AWD0002alr,Chocques,,,activity:enemy_activity,2.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-08-21,129 130,AWD0002amp AWD0002alj,Arras,,,activity:enemy_activity,1.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1916-11-13,27,AWD0002amz,Courcelles,,,activity:fire,3.0,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",,,"[3.0139099999999996, 49.926749999999998, 'Buire-Courcelles']",3.0139099999999996,49.92675,Buire-Courcelles
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-04-08,45,AWD0002ank,Arras,,,activity:fire,1.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-04-12,46,AWD0002aoa,Guemappe,Wancourt,Bois de Boeufs,activity:fire,3.0,,"[3.0723199999999999, 49.902470000000001, 'Hancourt']",,"[3.0723199999999999, 49.902470000000001, 'Hancourt']",3.07232,49.90247,Hancourt
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-05-03,49,AWD0002an2,Arras,,,activity:fire,3.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-05-07,49 50,AWD0002an2 AWD0002am6,Arras,Field,,activity:fire,1.0,"[2.7772210999999998, 50.291047999999996, 'Arras']",,,"[2.7772210999999998, 50.291047999999996, 'Arras']",2.7772210999999998,50.291047999999996,Arras
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-07-19,57,AWD0002ap8,Doignies,,,activity:fire,5.0,"[4.0732968000000005, 50.577530899999999, 'Soignies']",,,"[4.0732968000000005, 50.577530899999999, 'Soignies']",4.0732968000000005,50.5775309,Soignies
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-08-08,63,AWD0002alk,Lagnicourt,,,activity:fire,2.0,"[4.3790817000000004, 48.451862599999998, 'Magnicourt']",,,"[4.3790817000000004, 48.451862599999998, 'Magnicourt']",4.3790817,48.4518626,Magnicourt
3 DIVISION: 13 Battalion King's Liverpool Regiment,1917-12-01,76,AWD0002am3,Lagnicourt,,,activity:fire,3.0,"[4.3790817000000004, 48.451862599999998, 'Magnicourt']",,,"[4.3790817000000004, 48.451862599999998, 'Magnicourt']",4.3790817,48.4518626,Magnicourt
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-05-02,119,AWD0002all,Annezin,Chocques,,activity:fire,1.0,,"[2.5696056999999999, 50.5391865, 'Chocques']",,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-05-04,119,AWD0002all,Chocques,Shropshire Line,,activity:fire,2.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-05-22,121,AWD0002ao7,Chocques,,,activity:fire,1.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-06-05,123,AWD0002alr,Chocques,,,activity:fire,1.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
3 DIVISION: 13 Battalion King's Liverpool Regiment,1918-06-08,123,AWD0002alr,Chocques,,,activity:fire,1.0,"[2.5696056999999999, 50.5391865, 'Chocques']",,,"[2.5696056999999999, 50.5391865, 'Chocques']",2.5696057,50.5391865,Chocques
