#Unit,PageNum,PageID,Date,Place,name,country,longitude,latitude
3 DIVISION: 13 Battalion King's Liverpool Regiment,4.0,AWD00009on,1915-09-29,Merris,Merris,France,2.661152,50.7159968
3 DIVISION: 13 Battalion King's Liverpool Regiment,5.0,AWD00009oi,1915-10-02,Merris,Merris,France,2.661152,50.7159968
3 DIVISION: 13 Battalion King's Liverpool Regiment,5.0,AWD00009oi,1915-10-02,Nieppe,Nieppe,France,2.8403065,50.703612
3 DIVISION: 13 Battalion King's Liverpool Regiment,5.0,AWD00009oi,1915-10-06,Nieppe,Nieppe,France,2.8403065,50.703612
3 DIVISION: 13 Battalion King's Liverpool Regiment,5.0,AWD00009oi,1915-10-23,Steenvoorde,Steenvoorde,France,2.5816407000000003,50.8101261
3 DIVISION: 13 Battalion King's Liverpool Regiment,7.0,AWD00009of,1915-10-23,Steenvoorde,Steenvoorde,France,2.5816407000000003,50.8101261
3 DIVISION: 13 Battalion King's Liverpool Regiment,7.0,AWD00009of,1915-11-23,Poperinge,Poperinge,Belgium,2.7264961,50.855664600000004
3 DIVISION: 13 Battalion King's Liverpool Regiment,9.0,AWD00009p2,1915-11-30,Dickebusch,Dikkebus,BE,2.82873,50.82131
3 DIVISION: 13 Battalion King's Liverpool Regiment,15.0,AWD00009ov,1915-11-30,Dickebusch,Dikkebus,BE,2.82873,50.82131
3 DIVISION: 13 Battalion King's Liverpool Regiment,15.0,AWD00009ov,1915-11-30,Voormezeele,Voormezele,BE,2.87616,50.81681
3 DIVISION: 13 Battalion King's Liverpool Regiment,15.0,AWD00009ov,1915-11-30,Kingsway,Kingsway,United Kingdom,0.12056800000000001,52.2254336
3 DIVISION: 13 Battalion King's Liverpool Regiment,15.0,AWD00009ov,1915-11-30,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION: 13 Battalion King's Liverpool Regiment,15.0,AWD00009ov,1916-01-05,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION: 13 Battalion King's Liverpool Regiment,17.0,AWD00009p4,1916-01-10,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION: 13 Battalion King's Liverpool Regiment,17.0,AWD00009p4,1916-01-10,Voormezeele,Voormezele,BE,2.87616,50.81681
3 DIVISION: 13 Battalion King's Liverpool Regiment,17.0,AWD00009p4,1916-02-06,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION: 13 Battalion King's Liverpool Regiment,17.0,AWD00009p4,1916-02-06,Poperinghe,Poperinge,BE,2.7265900000000003,50.85386
3 DIVISION: 13 Battalion King's Liverpool Regiment,17.0,AWD00009p4,1916-02-06,Audruicq,Audruicq,France,2.0752362,50.8786489
3 DIVISION: 13 Battalion King's Liverpool Regiment,17.0,AWD00009p4,1916-02-06,Nortbecourt,La Coudrée,France,2.1013875,50.781532399999996
3 DIVISION: 13 Battalion King's Liverpool Regiment,17.0,AWD00009p4,1916-02-07,Mentque,Mentque,France,2.0856493,50.783977
3 DIVISION: 13 Battalion King's Liverpool Regiment,17.0,AWD00009p4,1916-02-23,Eperlecques,Eperlecques,FR,2.15207,50.80566
3 DIVISION: 13 Battalion King's Liverpool Regiment,17.0,AWD00009p4,1916-02-29,Eperlecques,Eperlecques,FR,2.15207,50.80566
3 DIVISION: 13 Battalion King's Liverpool Regiment,19.0,AWD00009os,1916-02-29,Saint Omer,Saint-Omer,France,2.2540754,50.7521914
