#Unit,PageNum,PageID,Date,Place,name,country,longitude,latitude
3 DIVISION: 1 Battalion Gordon Highlanders,1.0,AWD00009mf,1914-08-04,Plymouth,Plymouth,United Kingdom,-4.1425658,50.3712659
3 DIVISION: 1 Battalion Gordon Highlanders,1.0,AWD00009mf,1914-08-06,Aberdeen,Aberdeen,United Kingdom,-2.0926781,57.1482281
3 DIVISION: 1 Battalion Gordon Highlanders,1.0,AWD00009mf,1914-08-11,Aberdeen,Aberdeen,United Kingdom,-2.0926781,57.1482281
3 DIVISION: 1 Battalion Gordon Highlanders,1.0,AWD00009mf,1914-08-13,Plymouth,Plymouth,United Kingdom,-4.1425658,50.3712659
3 DIVISION: 1 Battalion Gordon Highlanders,1.0,AWD00009mf,1914-08-13,Southampton,Southampton,United Kingdom,-1.404189,50.9025349
3 DIVISION: 1 Battalion Gordon Highlanders,1.0,AWD00009mf,1914-08-14,Boulogne,Boulogne,France,-1.3207157,46.7945085
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-15,Saint Martin Boulogne,Saint-Martin-Boulogne,France,3.4387603,48.5841959
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-16,Boulogne,Boulogne,France,-1.3207157,46.7945085
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-16,Aulnoye,Aulnoye-Aymeries,France,3.8392173,50.2049337
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-16,Taisnieres,Taisnières-sur-Hon,France,3.8368319,50.3183595
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-17,Taisnieres,Taisnières-sur-Hon,France,3.8368319,50.3183595
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-20,Saint Aubin,Anzin-Saint-Aubin,France,2.7466711999999998,50.3133381
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-20,Dompiere,Dompiere,France,3.0319948,47.0398768
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-20,Taisnieres,Taisnières-sur-Hon,France,3.8368319,50.3183595
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-21,Avesnes,Avesnes,France,1.9693507000000001,50.5506984
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-21,Maubeuge,Maubeuge,France,3.9743784,50.2785567
3 DIVISION: 1 Battalion Gordon Highlanders,2.0,AWD00009n0,1914-08-21,Goegnies,Gognie,BE,4.2333300000000005,50.4
3 DIVISION: 1 Battalion Gordon Highlanders,3.0,AWD00009mg,1914-08-26,Audencourt,Audencourt,FR,3.4391599999999998,50.11831
3 DIVISION: 1 Battalion Gordon Highlanders,3.0,AWD00009mg,1914-08-27,Clary,Clary,France,3.4007629,50.078115
3 DIVISION: 1 Battalion Gordon Highlanders,3.0,AWD00009mg,1914-08-27,Ham,Ham,France,3.0733031,49.746322
3 DIVISION: 1 Battalion Gordon Highlanders,3.0,AWD00009mg,1914-08-28,Genvry,Genvry,France,2.9907632,49.6122762
3 DIVISION: 1 Battalion Gordon Highlanders,3.0,AWD00009mg,1914-08-29,Genvry,Genvry,France,2.9907632,49.6122762
3 DIVISION: 1 Battalion Gordon Highlanders,3.0,AWD00009mg,1914-08-29,Cuts,Cuts,France,3.1013685,49.5313296
3 DIVISION: 1 Battalion Gordon Highlanders,3.0,AWD00009mg,1914-08-30,Guts,Le Bois des Hauts Guets,France,4.428061,48.324311
3 DIVISION: 1 Battalion Gordon Highlanders,3.0,AWD00009mg,1914-08-30,Courtieux,Courtieux,France,3.0887978,49.3871282
3 DIVISION: 1 Battalion Gordon Highlanders,3.0,AWD00009mg,1914-08-31,Courtieux,Courtieux,France,3.0887978,49.3871282
3 DIVISION: 1 Battalion Gordon Highlanders,3.0,AWD00009mg,1914-08-31,Vaumoise,Vaumoise,France,2.9804756,49.2359957
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-01,Vaumoise,Vaumoise,France,2.9804756,49.2359957
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-01,Chevreville,Chevreville,FR,2.8494900000000003,49.10994
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-02,Chevreville,Chevreville,FR,2.8494900000000003,49.10994
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-02,Bregy,Bregy,FR,2.8654,49.082190000000004
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-02,Monthyon,Monthyon,France,2.8267759,49.0073614
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-03,Monthyon,Monthyon,France,2.8267759,49.0073614
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-03,Penchard,Penchard,France,2.8617917,48.9867533
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-03,Meaux,Meaux,France,2.8964865,48.9589146
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-03,Nanteuil,Nanteuil,France,3.3114166,49.1877359
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-03,Boutigny,Boutigny,France,2.9296609,48.9209326
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-03,Vaucourtois,Vaucourtois,France,2.9519736,48.8959598
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-04,Boutigny,Boutigny,France,2.9296609,48.9209326
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-04,Nanteuil,Nanteuil,France,3.3114166,49.1877359
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-04,La Chapelle,La Chapelle,France,4.75507,49.04485
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-05,Vaucourtois,Vaucourtois,France,2.9519736,48.8959598
3 DIVISION: 1 Battalion Gordon Highlanders,4.0,AWD00009lb,1914-09-05,Retal,Retal,FR,2.77762,48.68574
3 DIVISION: 1 Battalion Gordon Highlanders,5.0,AWD00009ln,1914-09-08,Les Corvelles,Les Cotelles,FR,2.46667,48.05
3 DIVISION: 1 Battalion Gordon Highlanders,5.0,AWD00009ln,1914-09-08,Rebais,Rebais,France,3.232178,48.8483896
3 DIVISION: 1 Battalion Gordon Highlanders,5.0,AWD00009ln,1914-09-08,Orly,Orly,France,2.3951433,48.7453214
3 DIVISION: 1 Battalion Gordon Highlanders,5.0,AWD00009ln,1914-09-08,Gibraltar,Gibraltar,United Kingdom,-0.9022300999999999,51.791921
3 DIVISION: 1 Battalion Gordon Highlanders,6.0,AWD00009l2,1914-09-08,Gibraltar,Gibraltar,United Kingdom,-0.9022300999999999,51.791921
3 DIVISION: 1 Battalion Gordon Highlanders,6.0,AWD00009l2,1914-09-08,Petit Morin,Le Petit Bois Morin,France,-1.2013947,48.2322771
3 DIVISION: 1 Battalion Gordon Highlanders,6.0,AWD00009l2,1914-09-08,Le Moncel,Le Moncel,France,0.6687723,48.565796
3 DIVISION: 1 Battalion Gordon Highlanders,6.0,AWD00009l2,1914-09-08,Orly,Orly,France,2.3951433,48.7453214
3 DIVISION: 1 Battalion Gordon Highlanders,6.0,AWD00009l2,1914-09-08,Busserolles,Busserolles,France,1.8213553999999998,46.2337069
3 DIVISION: 1 Battalion Gordon Highlanders,7.0,AWD00009mo,1914-09-20,Fer-En-Tardenois,Fere-en-Tardenois,FR,3.5166699999999995,49.2
3 DIVISION: 1 Battalion Gordon Highlanders,8.0,AWD00009na,1914-09-19,Fer-En-Tardenois,Fere-en-Tardenois,FR,3.5166699999999995,49.2
3 DIVISION: 1 Battalion Gordon Highlanders,9.0,AWD00009lc,1914-09-27,Fere-En-Tardenois,Fere-en-Tardenois,FR,3.5166699999999995,49.2
3 DIVISION: 1 Battalion Gordon Highlanders,9.0,AWD00009lc,1914-09-30,Braine,Braine,France,3.5340221,49.3442899
3 DIVISION: 1 Battalion Gordon Highlanders,9.0,AWD00009lc,1914-09-30,Courcelles,Courcelles-sur-Vesle,France,3.57318,49.3372
3 DIVISION: 1 Battalion Gordon Highlanders,9.0,AWD00009lc,1914-10-01,Courcelles,Courcelles-sur-Vesle,France,3.57318,49.3372
3 DIVISION: 1 Battalion Gordon Highlanders,9.0,AWD00009lc,1914-10-01,Augy,Augy,France,3.5146436,49.3387015
3 DIVISION: 1 Battalion Gordon Highlanders,9.0,AWD00009lc,1914-10-01,Arcy,Arcy,France,5.1138999,46.6271211
3 DIVISION: 1 Battalion Gordon Highlanders,9.0,AWD00009lc,1914-10-02,Oulchy,Oulchy-le-Château,France,3.36905,49.2023
3 DIVISION: 1 Battalion Gordon Highlanders,9.0,AWD00009lc,1914-10-02,Oulchy-le-Chateau,Oulchy-le-Chateau,FR,3.36975,49.20559
3 DIVISION: 1 Battalion Gordon Highlanders,12.0,AWD00009nh,1914-11-01,Croix De Poperinghe,Croix,France,3.1521074000000002,50.6783122
3 DIVISION: 1 Battalion Gordon Highlanders,12.0,AWD00009nh,1914-11-04,Croix De Poperinghe,Croix,France,3.1521074000000002,50.6783122
3 DIVISION: 1 Battalion Gordon Highlanders,12.0,AWD00009nh,1914-11-05,Ypres,Ypres,Belgium,2.8846046999999997,50.8521947
3 DIVISION: 1 Battalion Gordon Highlanders,12.0,AWD00009nh,1914-11-05,Hooge,Hooge,Germany,8.545524526874235,54.568344749999994
3 DIVISION: 1 Battalion Gordon Highlanders,13.0,AWD00009ld,1914-11-07,Hooge,Hooge,Germany,8.545524526874235,54.568344749999994
3 DIVISION: 1 Battalion Gordon Highlanders,13.0,AWD00009ld,1914-11-08,Hooge,Hooge,Germany,8.545524526874235,54.568344749999994
3 DIVISION: 1 Battalion Gordon Highlanders,14.0,AWD00009lm,1914-11-21,Westoutre,Westouter,BE,2.74647,50.79722
3 DIVISION: 1 Battalion Gordon Highlanders,14.0,AWD00009lm,1914-11-26,Locre,Locre,Italy,11.2320141,45.7111176
3 DIVISION: 1 Battalion Gordon Highlanders,14.0,AWD00009lm,1914-11-27,Locre,Locre,Italy,11.2320141,45.7111176
3 DIVISION: 1 Battalion Gordon Highlanders,14.0,AWD00009lm,1914-11-30,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 1 Battalion Gordon Highlanders,14.0,AWD00009lm,1914-11-30,Wytschaete,Wijtschate,BE,2.88369,50.78632
3 DIVISION: 1 Battalion Gordon Highlanders,15.0,AWD00009ma,1914-12-04,Locre,Locre,Italy,11.2320141,45.7111176
3 DIVISION: 1 Battalion Gordon Highlanders,15.0,AWD00009ma,1914-12-08,Locre,Locre,Italy,11.2320141,45.7111176
3 DIVISION: 1 Battalion Gordon Highlanders,16.0,AWD00009md,1914-12-13,Locre,Locre,Italy,11.2320141,45.7111176
3 DIVISION: 1 Battalion Gordon Highlanders,16.0,AWD00009md,1914-12-13,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 1 Battalion Gordon Highlanders,16.0,AWD00009md,1914-12-14,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 1 Battalion Gordon Highlanders,24.0,AWD00009la,1914-12-19,Kemmel,Kemmel,Belgium,2.8258709,50.7828552
3 DIVISION: 1 Battalion Gordon Highlanders,24.0,AWD00009la,1914-12-21,Westoutre,Westouter,BE,2.74647,50.79722
