#Unit,PageNum,PageID,Date,Place,name,country,longitude,latitude
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,6.0,AWD0001ejo,1915-11-01,Eecke,Eecke,France,2.5966366,50.7790852
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,7.0,AWD0001ehu,1915-11-11,Eecke,Eecke,France,2.5966366,50.7790852
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,7.0,AWD0001ehu,1915-11-12,Eecke,Eecke,France,2.5966366,50.7790852
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,8.0,AWD0001egn,1915-11-18,Eecke,Eecke,France,2.5966366,50.7790852
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,8.0,AWD0001egn,1915-11-20,Boeschepe,Boeschepe,France,2.6916326,50.8002738
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,8.0,AWD0001egn,1915-11-21,Verbrandenmolen,Verbrandenmolen,BE,2.92124,50.825520000000004
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,9.0,AWD0001egx,1915-11-27,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,9.0,AWD0001egx,1915-11-28,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,9.0,AWD0001egx,1915-11-29,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,9.0,AWD0001egx,1915-11-30,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,12.0,AWD0001ehq,1915-12-01,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,12.0,AWD0001ehq,1915-12-02,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,12.0,AWD0001ehq,1915-12-03,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,13.0,AWD0001ej2,1915-12-09,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,13.0,AWD0001ej2,1915-12-10,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,13.0,AWD0001ej2,1915-12-11,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,14.0,AWD0001egp,1915-12-13,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,14.0,AWD0001egp,1915-12-14,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,14.0,AWD0001egp,1915-12-15,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,15.0,AWD0001emv,1915-12-18,Verbrandenmolen,Verbrandenmolen,BE,2.92124,50.825520000000004
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,17.0,AWD0001eib,1915-12-23,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,17.0,AWD0001eib,1915-12-24,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,17.0,AWD0001eib,1915-12-25,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,17.0,AWD0001eib,1915-12-26,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,17.0,AWD0001eib,1915-12-27,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,17.0,AWD0001eib,1915-12-28,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,18.0,AWD0001ei0,1915-12-29,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,18.0,AWD0001ei0,1915-12-29,La Clytte,De Klijte,BE,2.7983599999999997,50.79957
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,21.0,AWD0001ej0,1916-03-01,Reninghelst,Reningelst,BE,2.77066,50.81514
3 DIVISION:  76 Infantry Brigade: 1 Battalion Gordon Highlanders.,22.0,AWD0001eiu,1916-03-10,Kingsway,Kingsway,United Kingdom,0.120568,52.2254336
