#Unit,PageNum,PageID,Date,Place,name,country,longitude,latitude
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-26,Southampton,Southampton,United Kingdom,-1.39904048346365,50.9137978
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-26,Aldershot,Aldershot,United Kingdom,-0.7630148,51.2494169
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-26,Havre,Le Havre,France,0.10797319999999999,49.4938975
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-27,Aldershot,Aldershot,United Kingdom,-0.7630148,51.2494169
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-27,Ostrohove,Ostrohe,DE,9.12537,54.21631
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-27,Boulogne,Boulogne,France,-1.3207157,46.7945085
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-28,Havre,Le Havre,France,0.10797319999999999,49.4938975
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-29,Pont de Briques,Pont-de-Briques,FR,1.62744,50.68419
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-29,Boulogne,Boulogne,France,-1.3207157,46.7945085
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-29,Caestre,Caestre,FR,2.6027400000000003,50.758379999999995
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,4.0,AWD0000mr1,1915-09-30,Merris,Merris,France,2.661152,50.7159968
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,7.0,AWD0000mz1,1915-10-02,Merris,Merris,France,2.661152,50.7159968
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,7.0,AWD0000mz1,1915-10-02,Lampernisse,Lampernisse,Belgium,2.7662448,51.0310123
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,7.0,AWD0000mz1,1915-10-03,Lampernisse,Lampernisse,Belgium,2.7662448,51.0310123
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,7.0,AWD0000mz1,1915-10-05,Lampernisse,Lampernisse,Belgium,2.7662448,51.0310123
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,7.0,AWD0000mz1,1915-10-06,Lampernisse,Lampernisse,Belgium,2.7662448,51.0310123
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,7.0,AWD0000mz1,1915-10-07,Lampernisse,Lampernisse,Belgium,2.7662448,51.0310123
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,7.0,AWD0000mz1,1915-10-07,Ploegsteert,Ploegsteert,Belgium,2.8803139,50.7262204
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,8.0,AWD0000myf,1915-10-14,Piggeries,Nuptown Piggeries,United Kingdom,-0.7194535999999999,51.4548314
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,8.0,AWD0000myf,1915-10-14,Ploegsteert,Ploegsteert,Belgium,2.8803139,50.7262204
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,8.0,AWD0000myf,1915-10-14,Bailleul,Bailleul,France,2.7349286,50.7396668
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,8.0,AWD0000myf,1915-10-15,Poperinghe,Poperinge,BE,2.7265900000000003,50.85386
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,8.0,AWD0000myf,1915-10-15,Bailleul,Bailleul,France,2.7349286,50.7396668
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,8.0,AWD0000myf,1915-10-16,Poperinghe,Poperinge,BE,2.7265900000000003,50.85386
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,8.0,AWD0000myf,1915-10-18,Hooge,Hooge,Germany,8.545524526874235,54.568344749999994
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,8.0,AWD0000myf,1915-10-18,Poperinghe,Poperinge,BE,2.7265900000000003,50.85386
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,9.0,AWD0000n0h,1915-10-19,Poperinghe,Poperinge,BE,2.7265900000000003,50.85386
3 DIVISION: 8 Battalion King's Own Royal Lancaster Regiment,9.0,AWD0000n0h,1915-10-20,Poperinghe,Poperinge,BE,2.7265900000000003,50.85386
