#Unit,PageNum,PageID,Date,Place,name,country,longitude,latitude
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-15,Tidworth,Tidworth,United Kingdom,-1.6638893000000001,51.2447456
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-15,Amesbury,Amesbury,United Kingdom,-1.775107,51.1726704
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-15,Southampton,Southampton,United Kingdom,-1.39904048346365,50.9137978
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-16,Southampton,Southampton,United Kingdom,-1.39904048346365,50.9137978
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-16,Boulogne,Boulogne,France,-1.3207157,46.7945085
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-17,Pont de Breques,Pont-Arcy,France,3.6303900000000002,49.3951
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-17,Boulogne,Boulogne,France,-1.3207157,46.7945085
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-18,Boulogne,Boulogne,France,-1.3207157,46.7945085
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-18,Jeumont,Jeumont,France,4.0990614,50.2981395
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-20,Jeumont,Jeumont,France,4.0990614,50.2981395
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-20,Obrechies,Obrechies,France,4.0252881,50.2216094
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-21,Obrechies,Obrechies,France,4.0252881,50.2216094
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-21,Harmignies,Harmignies,Belgium,4.0177899,50.4076446
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,4.0,AWD00001wz,1914-08-21,Binche,Binche,Belgium,4.165163,50.4103004
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,5.0,AWD00001rz,1914-08-21,Mons,Mons,Belgium,3.951958,50.4549568
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,5.0,AWD00001rz,1914-08-22,Harmignies,Harmignies,Belgium,4.0177899,50.4076446
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,5.0,AWD00001rz,1914-08-23,Thulin,Thulin,Belgium,3.7393229,50.4292832
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,5.0,AWD00001rz,1914-08-24,Elouges,Elouges,BE,3.75175,50.40245
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,5.0,AWD00001rz,1914-08-24,Thulin,Thulin,Belgium,3.7393229,50.4292832
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,5.0,AWD00001rz,1914-08-24,Audregnies,Audregnies,Belgium,3.7202865,50.3816008
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,6.0,AWD00001x2,1914-08-25,Bavai,Bavay,FR,3.7937199999999995,50.29828
1 CAVALRY DIVISION: 9 (Queen's Royal) Lancers,6.0,AWD00001x2,1914-08-25,Le Cateau,Le Cateau-Cambrésis,France,3.5399374999999997,50.1017134
